,name,file
149,Microsoft YaHei,C:\Windows\Fonts\msyhl.ttc
150,HCR Dotum,C:\Windows\Fonts\HANDotumB.ttf
151,Sitka Small,C:\Windows\Fonts\Sitka.ttc
152,Segoe UI,C:\Windows\Fonts\seguibli.ttf
153,Berlin Sans FB Demi,C:\Windows\Fonts\BRLNSDB.TTF
154,Bauhaus 93,C:\Windows\Fonts\BAUHS93.TTF
155,HCR Batang,C:\Windows\Fonts\HANBatang.ttf
156,Colonna MT,C:\Windows\Fonts\COLONNA.TTF
157,Baskerville Old Face,C:\Windows\Fonts\BASKVILL.TTF
158,Marlett,C:\Windows\Fonts\marlett.ttf
159,Forte,C:\Windows\Fonts\FORTE.TTF
160,Segoe UI Emoji,C:\Windows\Fonts\seguiemj.ttf
161,HYPost-Medium,C:\Windows\Fonts\H2PORM.TTF
162,Calisto MT,C:\Windows\Fonts\CALISTI.TTF
163,Impact,C:\Windows\Fonts\impact.ttf
164,Segoe UI,C:\Windows\Fonts\seguibl.ttf
165,Rage Italic,C:\Windows\Fonts\RAGE.TTF
166,Corbel,C:\Windows\Fonts\corbelb.ttf
167,Calisto MT,C:\Windows\Fonts\CALISTBI.TTF
168,Courier New,C:\Windows\Fonts\couri.ttf
169,Gill Sans MT,C:\Windows\Fonts\GILI____.TTF
170,Ebrima,C:\Windows\Fonts\ebrimabd.ttf
171,Bodoni MT,C:\Windows\Fonts\BOD_CBI.TTF
172,Juice ITC,C:\Windows\Fonts\JUICE___.TTF
173,Calibri,C:\Windows\Fonts\calibrii.ttf
174,Pyunji R,C:\Windows\Fonts\HMFMPYUN.TTF
175,Segoe Print,C:\Windows\Fonts\segoepr.ttf
176,Cambria,C:\Windows\Fonts\cambria.ttc
177,Harrington,C:\Windows\Fonts\HARNGTON.TTF
178,Agency FB,C:\Windows\Fonts\AGENCYB.TTF
179,Rockwell,C:\Windows\Fonts\ROCKI.TTF
180,Bodoni MT,C:\Windows\Fonts\BOD_BI.TTF
181,Trebuchet MS,C:\Windows\Fonts\trebuc.ttf
182,HoloLens MDL2 Assets,C:\Windows\Fonts\holomdl2.ttf
183,NewJumja,C:\Windows\Fonts\JUMJA.TTF
184,Tahoma,C:\Windows\Fonts\tahomabd.ttf
185,Consolas,C:\Windows\Fonts\consolaz.ttf
186,HYPMokGak-Bold,C:\Windows\Fonts\H2MKPB.TTF
187,Rockwell Condensed,C:\Windows\Fonts\ROCC____.TTF
188,Perpetua,C:\Windows\Fonts\PERBI___.TTF
189,Verdana,C:\Windows\Fonts\verdanab.ttf
190,Microsoft YaHei,C:\Windows\Fonts\msyhbd.ttc
191,Segoe UI,C:\Windows\Fonts\segoeuiz.ttf
192,Georgia,C:\Windows\Fonts\georgiaz.ttf
193,Times New Roman,C:\Windows\Fonts\timesbd.ttf
194,Felix Titling,C:\Windows\Fonts\FELIXTI.TTF
195,Gill Sans Ultra Bold Condensed,C:\Windows\Fonts\GILLUBCD.TTF
196,Monotype Corsiva,C:\Windows\Fonts\MTCORSVA.TTF
197,Segoe UI Historic,C:\Windows\Fonts\seguihis.ttf
198,Franklin Gothic Demi,C:\Windows\Fonts\FRADM.TTF
199,HancomEQN,C:\Windows\Fonts\HancomEQN.ttf
200,Bodoni MT,C:\Windows\Fonts\BOD_PSTC.TTF
201,Segoe Script,C:\Windows\Fonts\segoesc.ttf
202,HYGothic-Medium,C:\Windows\Fonts\H2GTRM.TTF
203,Californian FB,C:\Windows\Fonts\CALIFR.TTF
204,Lucida Handwriting,C:\Windows\Fonts\LHANDW.TTF
205,Bookman Old Style,C:\Windows\Fonts\BOOKOSBI.TTF
206,Courier New,C:\Windows\Fonts\courbd.ttf
207,Arial,C:\Windows\Fonts\ARIALNBI.TTF
208,Cambria,C:\Windows\Fonts\cambriai.ttf
209,Lucida Sans,C:\Windows\Fonts\LSANSD.TTF
210,Microsoft JhengHei,C:\Windows\Fonts\msjhbd.ttc
211,Lucida Sans,C:\Windows\Fonts\LSANSI.TTF
212,Microsoft YaHei,C:\Windows\Fonts\msyh.ttc
213,Gill Sans Ultra Bold,C:\Windows\Fonts\GILSANUB.TTF
214,Playbill,C:\Windows\Fonts\PLAYBILL.TTF
215,Yu Gothic,C:\Windows\Fonts\YuGothM.ttc
216,Modern No. 20,C:\Windows\Fonts\MOD20.TTF
217,Microsoft Yi Baiti,C:\Windows\Fonts\msyi.ttf
218,Corbel,C:\Windows\Fonts\corbel.ttf
219,Segoe UI,C:\Windows\Fonts\segoeuii.ttf
220,Microsoft PhagsPa,C:\Windows\Fonts\phagspab.ttf
221,Broadway,C:\Windows\Fonts\BROADW.TTF
222,Centaur,C:\Windows\Fonts\CENTAUR.TTF
223,Bodoni MT,C:\Windows\Fonts\BOD_BLAI.TTF
224,Book Antiqua,C:\Windows\Fonts\ANTQUAB.TTF
225,Franklin Gothic Book,C:\Windows\Fonts\FRABKIT.TTF
226,MS Reference Sans Serif,C:\Windows\Fonts\REFSAN.TTF
227,Rockwell,C:\Windows\Fonts\ROCK.TTF
228,Lucida Fax,C:\Windows\Fonts\LFAXI.TTF
229,High Tower Text,C:\Windows\Fonts\HTOWERT.TTF
230,Gill Sans MT Ext Condensed Bold,C:\Windows\Fonts\GLSNECB.TTF
231,Palatino Linotype,C:\Windows\Fonts\palab.ttf
232,Bodoni MT,C:\Windows\Fonts\BOD_B.TTF
233,Microsoft New Tai Lue,C:\Windows\Fonts\ntailu.ttf
234,Tw Cen MT Condensed,C:\Windows\Fonts\TCCM____.TTF
235,Lucida Sans Typewriter,C:\Windows\Fonts\LTYPE.TTF
236,Onyx,C:\Windows\Fonts\ONYX.TTF
237,Century Gothic,C:\Windows\Fonts\GOTHICBI.TTF
238,Kunstler Script,C:\Windows\Fonts\KUNSTLER.TTF
239,Bell MT,C:\Windows\Fonts\BELLI.TTF
240,Lucida Calligraphy,C:\Windows\Fonts\LCALLIG.TTF
241,Bodoni MT,C:\Windows\Fonts\BOD_CR.TTF
242,Gill Sans MT,C:\Windows\Fonts\GILBI___.TTF
243,Century Gothic,C:\Windows\Fonts\GOTHICB.TTF
244,Copperplate Gothic Bold,C:\Windows\Fonts\COPRGTB.TTF
245,Brush Script MT,C:\Windows\Fonts\BRUSHSCI.TTF
246,Tempus Sans ITC,C:\Windows\Fonts\TEMPSITC.TTF
247,MoeumT R,C:\Windows\Fonts\HMFMMUEX.TTC
248,Perpetua,C:\Windows\Fonts\PERB____.TTF
249,Snap ITC,C:\Windows\Fonts\SNAP____.TTF
250,Franklin Gothic Medium,C:\Windows\Fonts\framdit.ttf
251,Microsoft JhengHei,C:\Windows\Fonts\msjh.ttc
252,Algerian,C:\Windows\Fonts\ALGER.TTF
253,Segoe Print,C:\Windows\Fonts\segoeprb.ttf
254,Verdana,C:\Windows\Fonts\verdanai.ttf
255,Arial,C:\Windows\Fonts\ARIALNB.TTF
256,Tw Cen MT Condensed Extra Bold,C:\Windows\Fonts\TCCEB.TTF
257,Arial,C:\Windows\Fonts\ARIALN.TTF
258,HyhwpEQ,C:\Windows\Fonts\HYHWPEQ.TTF
259,Book Antiqua,C:\Windows\Fonts\ANTQUAI.TTF
260,Bodoni MT,C:\Windows\Fonts\BOD_R.TTF
261,HCR Batang ExtB,C:\Windows\Fonts\HANBatangExtBB.ttf
262,MingLiU-ExtB,C:\Windows\Fonts\mingliub.ttc
263,Yu Gothic,C:\Windows\Fonts\YuGothL.ttc
264,HYGraphic-Medium,C:\Windows\Fonts\H2GPRM.TTF
265,Tw Cen MT,C:\Windows\Fonts\TCM_____.TTF
266,Sitka Small,C:\Windows\Fonts\SitkaB.ttc
267,Comic Sans MS,C:\Windows\Fonts\comic.ttf
268,Microsoft JhengHei,C:\Windows\Fonts\msjhl.ttc
269,Segoe Script,C:\Windows\Fonts\segoescb.ttf
270,Segoe UI Symbol,C:\Windows\Fonts\seguisym.ttf
271,Castellar,C:\Windows\Fonts\CASTELAR.TTF
